;NUTS_ID;neighbors
1821;UKM8;UKM9
1821;UKM8;UKM7
1821;UKM8;UKM6
1822;UKM9;UKD1
1822;UKM9;UKC2
1822;UKM9;UKM8
1822;UKM9;UKM7
1823;UKN0;IE06
1823;UKN0;IE04
1825;SE21;SE22
1825;SE21;SE23
1825;SE21;SE12
1826;SE22;SE21
1826;SE22;SE23
1827;SE23;SE21
1827;SE23;SE22
1827;SE23;SE12
1827;SE23;NO03
1827;SE23;SE31
1828;SE31;SE23
1828;SE31;SE12
1828;SE31;NO03
1828;SE31;NO01
1828;SE31;NO02
1828;SE31;SE32
1829;SE32;SE33
1829;SE32;NO07
1829;SE32;SE31
1829;SE32;NO02
1829;SE32;NO06
1830;SE33;FI1D
1830;SE33;NO07
1830;SE33;SE32
1830;SE33;NO06
1831;SI03;HR03
1831;SI03;HR04
1831;SI03;HU22
1831;SI03;AT11
1831;SI03;SI04
1831;SI03;AT21
1831;SI03;AT22
1832;SI04;HR03
1832;SI04;SI03
1832;SI04;ITH4
1832;SI04;AT21
1833;SK01;HU22
1833;SK01;AT11
1833;SK01;AT12
1833;SK01;SK02
1834;SK02;HU22
1834;SK02;HU21
1834;SK02;HU12
1834;SK02;AT12
1834;SK02;HU31
1834;SK02;SK01
1834;SK02;SK03
1834;SK02;CZ06
1834;SK02;CZ07
1835;SK03;HU31
1835;SK03;SK02
1835;SK03;SK04
1835;SK03;CZ07
1835;SK03;CZ08
1835;SK03;PL21
1835;SK03;PL22
1836;SK04;HU32
1836;SK04;HU31
1836;SK04;SK03
1836;SK04;PL21
1836;SK04;PL82
1837;TR10;TR21
1837;TR10;TR42
1838;TR21;TR22
1838;TR21;EL51
1838;TR21;TR10
1838;TR21;BG42
1838;TR21;BG34
1839;UKE4;UKF1
1839;UKE4;UKE3
1839;UKE4;UKD3
1839;UKE4;UKD4
1839;UKE4;UKE2
1840;UKF1;UKF2
1840;UKF1;UKG2
1840;UKF1;UKF3
1840;UKF1;UKD6
1840;UKF1;UKE3
1840;UKF1;UKD3
1840;UKF1;UKE1
1840;UKF1;UKE4
1841;UKF2;UKJ1
1841;UKF2;UKH2
1841;UKF2;UKH1
1841;UKF2;UKG1
1841;UKF2;UKG2
1841;UKF2;UKF3
1841;UKF2;UKF1
1842;UKF3;UKH1
1842;UKF3;UKF2
1842;UKF3;UKF1
1842;UKF3;UKE1
1843;UKG1;UKK1
1843;UKG1;UKJ1
1843;UKG1;UKF2
1843;UKG1;UKG3
1843;UKG1;UKL2
1843;UKG1;UKG2
1844;UKG2;UKG1
1844;UKG2;UKF2
1844;UKG2;UKG3
1844;UKG2;UKL2
1844;UKG2;UKF1
1844;UKG2;UKD6
1845;UKG3;UKG1
1845;UKG3;UKG2
1846;UKH1;UKH3
1846;UKH1;UKH2
1846;UKH1;UKF2
1846;UKH1;UKF3
1847;UKH2;UKH3
1847;UKH2;UKJ1
1847;UKH2;UKH1
1847;UKH2;UKF2
1847;UKH2;UKI5
1847;UKH2;UKI7
1848;UKH3;UKH2
1848;UKH3;UKH1
1848;UKH3;UKI5
1849;UKI3;UKI6
1849;UKI3;UKI4
1849;UKI3;UKI7
1850;UKI4;UKI6
1850;UKI4;UKI3
1850;UKI4;UKI5
1850;UKI4;UKI7
1851;UKI5;UKH3
1851;UKI5;UKH2
1851;UKI5;UKJ4
1851;UKI5;UKI6
1851;UKI5;UKI4
1851;UKI5;UKI7
1852;UKI6;UKJ2
1852;UKI6;UKJ4
1852;UKI6;UKI3
1852;UKI6;UKI4
1852;UKI6;UKI5
1852;UKI6;UKI7
1853;UKI7;UKJ1
1853;UKI7;UKH2
1853;UKI7;UKJ2
1853;UKI7;UKI6
1853;UKI7;UKI3
1853;UKI7;UKI4
1853;UKI7;UKI5
1854;UKJ1;UKK1
1854;UKJ1;UKH2
1854;UKJ1;UKG1
1854;UKJ1;UKF2
1854;UKJ1;UKJ3
1854;UKJ1;UKJ2
1854;UKJ1;UKI7
1855;UKJ2;UKJ1
1855;UKJ2;UKJ3
1855;UKJ2;UKJ4
1855;UKJ2;UKI6
1855;UKJ2;UKI7
1856;UKJ3;UKK1
1856;UKJ3;UKJ1
1856;UKJ3;UKJ2
1856;UKJ3;UKK2
1857;UKJ4;UKJ2
1857;UKJ4;UKI6
1857;UKJ4;UKI5
